DeviceObj,Circuit,Location,Debug
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.20,4063,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.21,4063,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.22,4062,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.23,4062,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.24,4062,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.25,4061,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.26,4061,
Outlets,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.27,4061,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.28,4082,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.28,4083,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.29,4063,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.29,4064,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.30,4089,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.31,4060,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.31,4061,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.31,4062,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.32,4020,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.32,4021,
UV,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.33,4021A,
AC Unit,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.37,377,
Condenser (Rooftop),MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.38,3101,
Outlets AC Unit,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.39,377,
Condenser (Rooftop),MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.40,3101,
AC Unit,MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.41,377,
Condenser (Rooftop),MSWB.5-DHB.DHB.6-T2DA.T2DA.L2DA.42,3101,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.2,4059,
Outlets corr,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.2,4019,
Outlets Water cooler,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.2,4019,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.3,4057,
